Frequency (Hz)	Signal Counts	Reference Counts	Contrast
2700000000.0	1000.5931038568569	800.3371997353975	1.2502144148587206
2703000000.0	999.1676877441371	800.2918913767045	1.2485040752135024
2706000000.0	998.3010453110873	798.62243439826	1.250028802488224
2709000000.0	998.5853028229826	799.8640789387873	1.2484437407763667
2712000000.0	1001.1623741790536	800.6225979759218	1.2504797849949807
2715000000.0	999.4950589423969	800.4373866192826	1.2486861254243156
2718000000.0	1000.2391784245491	799.5996377092486	1.2509250020299
2721000000.0	1001.6218804910393	800.1870454164573	1.25173468656912
2724000000.0	1001.0673562290576	800.0978874123667	1.2511811016857644
2727000000.0	999.7393511645906	800.7912960214164	1.2484393326096461
2730000000.0	998.7543713455592	801.0587010182294	1.2467929879246527
2733000000.0	999.4654036546773	799.9337562343064	1.2494352136852775
2736000000.0	1000.6448118561545	799.9339354763832	1.2509093157302325
2739000000.0	1000.9946819331839	800.1054253238195	1.2510784832237078
2742000000.0	1001.8534601655078	799.996925563638	1.2523216379358606
2745000000.0	999.6270445055673	801.2035652131439	1.247656760288675
2748000000.0	1000.7939611299307	799.6443906452397	1.2515487794798157
2751000000.0	999.4175641877916	799.5305991894121	1.250005397168077
2754000000.0	997.5779320422592	800.9538713492319	1.2454873716532613
2757000000.0	1002.6265259345929	799.483824507081	1.2540923220713802
2760000000.0	1000.6808276535226	800.5935266843848	1.2499237057259114
2763000000.0	997.8271732567074	801.1023211230614	1.2455676970924991
2766000000.0	1000.5442377041418	800.1952251767714	1.2503751662391027
2769000000.0	1000.3008812625226	800.6409283875678	1.2493751515764442
2772000000.0	999.5651188355471	798.0426026369171	1.2525210001731149
2775000000.0	1001.6915273370624	799.2854963654962	1.2532337092214798
2778000000.0	998.7770137059603	799.5651795148242	1.2491502122591402
2781000000.0	996.3965623870578	800.3994586912074	1.2448741082563195
2784000000.0	999.1376209176472	798.8471835318296	1.2507243456756045
2787000000.0	999.153601511382	799.1496167643779	1.2502710137768527
2790000000.0	1000.2018945713927	802.069504114513	1.2470264602263097
2793000000.0	998.4144269886217	800.3188328249757	1.247520845491547
2796000000.0	1003.8205487226269	799.9253812203556	1.2548927341087883
2799000000.0	1002.1106388383898	800.2740578519572	1.252209326300279
2802000000.0	1000.3154128150572	799.7091632580848	1.2508490070811307
2805000000.0	1001.9304373106494	800.2645133224755	1.2519990835916404
2808000000.0	0.0	0.0	0.0
2811000000.0	0.0	0.0	0.0
2814000000.0	0.0	0.0	0.0
2817000000.0	0.0	0.0	0.0
2820000000.0	0.0	0.0	0.0
2823000000.0	0.0	0.0	0.0
2826000000.0	0.0	0.0	0.0
2829000000.0	0.0	0.0	0.0
2832000000.0	0.0	0.0	0.0
2835000000.0	0.0	0.0	0.0
2838000000.0	0.0	0.0	0.0
2841000000.0	0.0	0.0	0.0
2844000000.0	0.0	0.0	0.0
2847000000.0	0.0	0.0	0.0
2850000000.0	0.0	0.0	0.0
2853000000.0	0.0	0.0	0.0
2856000000.0	0.0	0.0	0.0
2859000000.0	0.0	0.0	0.0
2862000000.0	0.0	0.0	0.0
2865000000.0	0.0	0.0	0.0
2868000000.0	0.0	0.0	0.0
2871000000.0	0.0	0.0	0.0
2874000000.0	0.0	0.0	0.0
2877000000.0	0.0	0.0	0.0
2880000000.0	0.0	0.0	0.0
2883000000.0	0.0	0.0	0.0
2886000000.0	0.0	0.0	0.0
2889000000.0	0.0	0.0	0.0
2892000000.0	0.0	0.0	0.0
2895000000.0	0.0	0.0	0.0
2898000000.0	0.0	0.0	0.0
2901000000.0	0.0	0.0	0.0
2904000000.0	0.0	0.0	0.0
2907000000.0	0.0	0.0	0.0
2910000000.0	0.0	0.0	0.0
2913000000.0	0.0	0.0	0.0
2916000000.0	0.0	0.0	0.0
2919000000.0	0.0	0.0	0.0
2922000000.0	0.0	0.0	0.0
2925000000.0	0.0	0.0	0.0
2928000000.0	0.0	0.0	0.0
2931000000.0	0.0	0.0	0.0
2934000000.0	0.0	0.0	0.0
2937000000.0	0.0	0.0	0.0
2940000000.0	0.0	0.0	0.0
2943000000.0	0.0	0.0	0.0
2946000000.0	0.0	0.0	0.0
2949000000.0	0.0	0.0	0.0
2952000000.0	0.0	0.0	0.0
2955000000.0	0.0	0.0	0.0
2958000000.0	0.0	0.0	0.0
2961000000.0	0.0	0.0	0.0
2964000000.0	0.0	0.0	0.0
2967000000.0	0.0	0.0	0.0
2970000000.0	0.0	0.0	0.0
2973000000.0	0.0	0.0	0.0
2976000000.0	0.0	0.0	0.0
2979000000.0	0.0	0.0	0.0
2982000000.0	0.0	0.0	0.0
2985000000.0	0.0	0.0	0.0
2988000000.0	0.0	0.0	0.0
2991000000.0	0.0	0.0	0.0
2994000000.0	0.0	0.0	0.0
2997000000.0	0.0	0.0	0.0
3000000000.0	0.0	0.0	0.0
