Frequency (Hz)	Signal Counts	Reference Counts	Contrast
2700000000.0	999.7267748468716	799.6981024094439	1.2501302326900026
2703000000.0	998.2791436062774	798.8480232666832	1.2496483868409314
2706000000.0	999.812349651682	799.3164755487836	1.2508341567277776
2709000000.0	999.0408092178413	801.4910315783147	1.2464778392473177
2712000000.0	1000.6653783688367	800.8271584049708	1.2495397638135666
2715000000.0	998.2742053024119	800.1443996205817	1.24761756224974
2718000000.0	1002.7906188487768	799.4715565736913	1.2543168179071353
2721000000.0	997.6159323593154	799.2670215610991	1.248163511626951
2724000000.0	0.0	0.0	0.0
2727000000.0	0.0	0.0	0.0
2730000000.0	0.0	0.0	0.0
2733000000.0	0.0	0.0	0.0
2736000000.0	0.0	0.0	0.0
2739000000.0	0.0	0.0	0.0
2742000000.0	0.0	0.0	0.0
2745000000.0	0.0	0.0	0.0
2748000000.0	0.0	0.0	0.0
2751000000.0	0.0	0.0	0.0
2754000000.0	0.0	0.0	0.0
2757000000.0	0.0	0.0	0.0
2760000000.0	0.0	0.0	0.0
2763000000.0	0.0	0.0	0.0
2766000000.0	0.0	0.0	0.0
2769000000.0	0.0	0.0	0.0
2772000000.0	0.0	0.0	0.0
2775000000.0	0.0	0.0	0.0
2778000000.0	0.0	0.0	0.0
2781000000.0	0.0	0.0	0.0
2784000000.0	0.0	0.0	0.0
2787000000.0	0.0	0.0	0.0
2790000000.0	0.0	0.0	0.0
2793000000.0	0.0	0.0	0.0
2796000000.0	0.0	0.0	0.0
2799000000.0	0.0	0.0	0.0
2802000000.0	0.0	0.0	0.0
2805000000.0	0.0	0.0	0.0
2808000000.0	0.0	0.0	0.0
2811000000.0	0.0	0.0	0.0
2814000000.0	0.0	0.0	0.0
2817000000.0	0.0	0.0	0.0
2820000000.0	0.0	0.0	0.0
2823000000.0	0.0	0.0	0.0
2826000000.0	0.0	0.0	0.0
2829000000.0	0.0	0.0	0.0
2832000000.0	0.0	0.0	0.0
2835000000.0	0.0	0.0	0.0
2838000000.0	0.0	0.0	0.0
2841000000.0	0.0	0.0	0.0
2844000000.0	0.0	0.0	0.0
2847000000.0	0.0	0.0	0.0
2850000000.0	0.0	0.0	0.0
2853000000.0	0.0	0.0	0.0
2856000000.0	0.0	0.0	0.0
2859000000.0	0.0	0.0	0.0
2862000000.0	0.0	0.0	0.0
2865000000.0	0.0	0.0	0.0
2868000000.0	0.0	0.0	0.0
2871000000.0	0.0	0.0	0.0
2874000000.0	0.0	0.0	0.0
2877000000.0	0.0	0.0	0.0
2880000000.0	0.0	0.0	0.0
2883000000.0	0.0	0.0	0.0
2886000000.0	0.0	0.0	0.0
2889000000.0	0.0	0.0	0.0
2892000000.0	0.0	0.0	0.0
2895000000.0	0.0	0.0	0.0
2898000000.0	0.0	0.0	0.0
2901000000.0	0.0	0.0	0.0
2904000000.0	0.0	0.0	0.0
2907000000.0	0.0	0.0	0.0
2910000000.0	0.0	0.0	0.0
2913000000.0	0.0	0.0	0.0
2916000000.0	0.0	0.0	0.0
2919000000.0	0.0	0.0	0.0
2922000000.0	0.0	0.0	0.0
2925000000.0	0.0	0.0	0.0
2928000000.0	0.0	0.0	0.0
2931000000.0	0.0	0.0	0.0
2934000000.0	0.0	0.0	0.0
2937000000.0	0.0	0.0	0.0
2940000000.0	0.0	0.0	0.0
2943000000.0	0.0	0.0	0.0
2946000000.0	0.0	0.0	0.0
2949000000.0	0.0	0.0	0.0
2952000000.0	0.0	0.0	0.0
2955000000.0	0.0	0.0	0.0
2958000000.0	0.0	0.0	0.0
2961000000.0	0.0	0.0	0.0
2964000000.0	0.0	0.0	0.0
2967000000.0	0.0	0.0	0.0
2970000000.0	0.0	0.0	0.0
2973000000.0	0.0	0.0	0.0
2976000000.0	0.0	0.0	0.0
2979000000.0	0.0	0.0	0.0
2982000000.0	0.0	0.0	0.0
2985000000.0	0.0	0.0	0.0
2988000000.0	0.0	0.0	0.0
2991000000.0	0.0	0.0	0.0
2994000000.0	0.0	0.0	0.0
2997000000.0	0.0	0.0	0.0
3000000000.0	0.0	0.0	0.0
