Frequency (Hz)	Signal Counts	Reference Counts	Contrast
2700000000.0	1001.3238327710894	800.9254085429053	1.2502085988166636
2703000000.0	998.334428680082	801.4049925269634	1.2457302337637894
2706000000.0	998.8582115416233	802.3127947434548	1.244973554062559
2709000000.0	999.700387079868	801.5247674500791	1.2472482793766342
2712000000.0	999.2434397698303	799.2765537425275	1.2501848516523837
2715000000.0	998.9086993451251	799.2289594019295	1.249840471362071
2718000000.0	1003.5158689859741	799.2431602441752	1.255582679843506
2721000000.0	999.3990470696253	802.3376742802054	1.2456090236149113
2724000000.0	1001.5606938604104	801.4160246508046	1.249738791156333
2727000000.0	1000.580562265337	800.413203572786	1.2500800309128692
2730000000.0	996.889028195281	800.3282335167991	1.2456002255658971
2733000000.0	1000.2704428545318	800.9081047581452	1.248920365410198
2736000000.0	999.827496775495	799.9938398277116	1.2497939946522838
2739000000.0	1002.8078898623166	798.6796904104624	1.2555820586184525
2742000000.0	999.8268244140137	799.636961788336	1.2503509369776582
2745000000.0	998.884198982818	801.2468470790524	1.2466622522438038
2748000000.0	999.3329518808675	799.2663831002511	1.250312753058103
2751000000.0	996.9877517144969	800.7480258547524	1.2450705084789562
2754000000.0	999.0657358509284	801.7609089779406	1.246089357392724
2757000000.0	1002.1392123148075	799.5684100759419	1.2533501820308606
2760000000.0	1000.0404423583997	800.6455687443159	1.2490426243497514
2763000000.0	1000.4484885622237	800.9259353025134	1.2491148612691008
2766000000.0	1001.2471842721326	800.3379999627681	1.2510304200459192
2769000000.0	999.9652362783021	799.3962078570535	1.2509006503282212
2772000000.0	1001.3884576492868	799.6860569006755	1.252226982086376
2775000000.0	999.5791309545604	799.0979431360504	1.2508843747385008
2778000000.0	1001.3421052411949	799.9707426642107	1.2517234091666154
2781000000.0	998.504970431667	799.3017834615983	1.2492214969261846
2784000000.0	999.176105682578	798.847712361914	1.250771693053189
2787000000.0	996.3744289573173	803.1108094207898	1.2406437782550963
2790000000.0	1001.9534995251878	800.8609487178865	1.2510954631128341
2793000000.0	998.3983976438072	800.3386207771525	1.2474699729900987
2796000000.0	1000.4800136184707	800.8504337481223	1.2492719881989032
2799000000.0	999.0949284042401	799.7100153725152	1.249321515548169
2802000000.0	1002.1445779783509	801.4052488623797	1.250484170650151
2805000000.0	1000.4558351106886	799.2078266649279	1.2518093563792574
2808000000.0	998.5977425664395	801.7060905576591	1.2455908147982566
2811000000.0	1001.0562210632733	800.9070955951661	1.2499030493909826
2814000000.0	999.1983927466646	800.8296113589512	1.2477041040616563
2817000000.0	1000.2281768600576	799.6637529972692	1.2508109478653253
2820000000.0	1002.2898575657732	798.5264690525747	1.255174244574456
2823000000.0	999.8784930675616	800.5376942738194	1.2490086353454817
2826000000.0	999.2427128179646	800.9655816859567	1.2475476295930885
2829000000.0	999.1374117243149	799.0640971292966	1.250384562782633
2832000000.0	1000.5602644577045	798.9336699041608	1.2523696298564193
2835000000.0	999.3670381575178	798.8794035509529	1.2509610758712941
2838000000.0	1000.2976378419403	799.7247174534891	1.2508024524077765
2841000000.0	998.4736559640729	800.3671207832406	1.2475195819975275
2844000000.0	999.2940589121288	798.6255331949468	1.2512673554455442
2847000000.0	1002.751940993176	800.9377627403123	1.2519723599526396
2850000000.0	1001.0237513579231	801.1912459207831	1.2494192322427076
2853000000.0	1001.0175149769876	801.3369204627671	1.2491843186245633
2856000000.0	998.8695755556832	800.6101932947939	1.247635346041476
2859000000.0	997.7513710150484	799.254973002635	1.2483517834949511
2862000000.0	1000.2176804457345	800.2023185339106	1.2499559889782397
2865000000.0	1000.3437254467465	799.1419575980144	1.2517722488924063
2868000000.0	1000.0703488757006	800.4048280436824	1.2494556677275832
2871000000.0	997.1836733835933	799.1365714435677	1.2478263528626545
2874000000.0	1000.9942463447615	799.7074125911574	1.2517005977241202
2877000000.0	999.8393700036188	800.2502237294455	1.2494084229605313
2880000000.0	1000.2224556406741	797.3486843463088	1.2544354499821964
2883000000.0	1000.1615108613455	800.6357371174801	1.2492091777744219
2886000000.0	999.9345902123747	798.9399540686254	1.2515766486832685
2889000000.0	1001.8603120329615	799.0048280168639	1.2538851792918277
2892000000.0	1000.4439037231973	798.8826671784694	1.2523039300084093
2895000000.0	995.9571187763503	799.7063151104262	1.2454035937415664
2898000000.0	997.8319365395282	799.7136381646426	1.2477365508353349
2901000000.0	1001.073687459019	798.2662451936193	1.2540598997972272
2904000000.0	997.813177051954	800.7265509382712	1.246134745853927
2907000000.0	1001.4141729532145	799.1880519507105	1.253039469883086
2910000000.0	1000.9335356331351	797.7243917818975	1.2547360290655325
2913000000.0	999.170495852196	799.5711754068038	1.2496329614981938
2916000000.0	998.8982977265091	801.1180213689983	1.2468803236001758
2919000000.0	998.5469819004898	799.5174572009475	1.2489370593561897
2922000000.0	1001.0364638955502	798.7645955857693	1.2532308885841967
2925000000.0	1001.7329832894688	799.8069192108112	1.2524685136231417
2928000000.0	997.2481127197759	801.7292684245186	1.243871406465517
2931000000.0	1001.3423348693285	800.8379293213834	1.2503682682934976
2934000000.0	1002.2784791407639	800.2287223276262	1.2524900083883959
2937000000.0	1001.5636305156693	801.890111529878	1.2490035930295313
2940000000.0	999.5658578011088	800.2491898162764	1.249068253390662
2943000000.0	1001.6509750819655	797.8586003090431	1.2554241750279878
2946000000.0	999.8853841042707	800.2707900256701	1.249433812362685
2949000000.0	1000.968149715967	800.5793515701866	1.2503047296345517
2952000000.0	1000.6686589527717	799.2425647762116	1.2520212299165518
2955000000.0	998.507028741523	798.9124922835655	1.2498327894303516
